pair,pvalue,cointegrated
"('WBD', 'O')",0.0009887142953539298,True
"('TMO', 'IEX')",0.0009899823893254772,True
"('LLY', 'CTVA')",0.0009918477332326347,True
"('PSKY', 'GOOGL')",0.0009927915858260127,True
"('LULU', 'MU')",0.0009950829999630824,True
"('ESS', 'SWK')",0.0009982578242317083,True
"('NEM', 'FE')",0.0010011467090695508,True
"('RL', 'HII')",0.0010035157905244057,True
"('CAT', 'EMR')",0.001008162202067048,True
"('AVY', 'OKE')",0.0010084434356485655,True
"('BSX', 'CRM')",0.0010142070589896333,True
"('WDC', 'FDS')",0.0010156253970851057,True
"('MDLZ', 'SO')",0.0010181041664807041,True
"('WSM', 'HLT')",0.0010239347083069244,True
"('LVS', 'MPC')",0.0010250911367840228,True
"('ETR', 'DIS')",0.001030499592450948,True
"('ACN', 'NFLX')",0.0010329237728337103,True
"('NEE', 'WYNN')",0.001041030263589791,True
"('MTD', 'EL')",0.0010420021527731125,True
"('PYPL', 'AES')",0.001043833893768298,True
"('TKO', 'JNJ')",0.001047104582892615,True
"('MTD', 'WYNN')",0.0010489659479451616,True
"('DUK', 'DOW')",0.0010536844100348922,True
"('NWS', 'WYNN')",0.0010615399780299333,True
"('C', 'HON')",0.0010616017457175302,True
"('WELL', 'CAH')",0.0010632199376844282,True
"('FCX', 'BEN')",0.0010686788083000944,True
"('WBD', 'TMO')",0.0010779959127655424,True
"('BAC', 'SW')",0.0010835760072761993,True
"('AMAT', 'ETN')",0.0010839585354311815,True
"('MLM', 'RCL')",0.0010914264517012,True
"('HSY', 'FSLR')",0.0010923838578278478,True
"('HPE', 'TSLA')",0.0010928592562002499,True
"('NKE', 'LMT')",0.0010947548859755,True
"('DIS', 'SRE')",0.001097602990628672,True
"('ESS', 'WY')",0.0010984997926322428,True
"('WELL', 'ROP')",0.0011037358609538273,True
"('NWS', 'IBM')",0.0011039301741270578,True
"('AMT', 'SRE')",0.0011068101437162452,True
"('GE', 'RSG')",0.0011077272255118863,True
"('ES', 'WEC')",0.0011096377445875304,True
"('RSG', 'CRM')",0.0011158579437523597,True
"('PODD', 'WBD')",0.0011169506848580308,True
"('COR', 'DASH')",0.001123537748950809,True
"('SYY', 'SRE')",0.0011249290698039196,True
"('APH', 'UNP')",0.001127092405055906,True
"('LVS', 'BAX')",0.0011291682257259638,True
"('ACN', 'AMAT')",0.0011296144905649965,True
"('SBUX', 'CMS')",0.0011306943029406012,True
"('IT', 'MU')",0.0011333834275504804,True
"('JCI', 'BAX')",0.0011355174975774423,True
"('CHTR', 'CI')",0.0011363143914184424,True
"('IBM', 'MU')",0.0011404774667697238,True
"('VICI', 'PSA')",0.0011407592802016033,True
"('STX', 'WYNN')",0.0011456985551681514,True
"('PSX', 'FDS')",0.0011474493172649667,True
"('BKNG', 'INTU')",0.0011482602348174176,True
"('HST', 'CNC')",0.0011540213526861354,True
"('PYPL', 'AMCR')",0.0011544800337340954,True
"('FCX', 'SW')",0.0011570534465937456,True
"('IDXX', 'HON')",0.0011588306075441632,True
"('KIM', 'NUE')",0.0011616983963722493,True
"('TJX', 'WYNN')",0.0011665393309043713,True
"('KLAC', 'NTAP')",0.001167016205090194,True
"('RL', 'SPG')",0.0011729063440249136,True
"('DG', 'AES')",0.00117480414907734,True
"('WMB', 'WYNN')",0.001178862914161462,True
"('DASH', 'PHM')",0.0011789561597981605,True
"('IDXX', 'BALL')",0.0011807809935797553,True
"('KEY', 'DOW')",0.001186365956453179,True
"('KR', 'FSLR')",0.0011874150859114278,True
"('ARE', 'CVS')",0.0011909366722923237,True
